Date,OPEN,HIGH,LOW,CLOSE
6/16/2017,1610,1647.5,1601,1638.6
6/19/2017,1644,1657,1633,1641.6
6/20/2017,1644.8,1656.6,1630.3,1652.7
6/21/2017,1647.7,1661,1638.1,1657.7
6/22/2017,1660,1674.2,1646,1651
6/23/2017,1653.9,1656,1626.4,1636.7
6/27/2017,1641,1643,1570.1,1578.6
6/28/2017,1573,1591.9,1541.3,1580.1
6/29/2017,1591.7,1611.9,1572.1,1580
6/30/2017,1573.3,1579,1555.5,1568.1
7/3/2017,1569.9,1590.7,1567,1587.6
7/4/2017,1591.6,1605.7,1570,1580.7
7/5/2017,1581.2,1599,1572.1,1594.5
7/6/2017,1597.7,1621.5,1588,1611.7
7/7/2017,1610.8,1627.9,1604,1609.4
7/10/2017,1615.3,1635,1615.3,1628.1
7/11/2017,1632.9,1656.9,1626.2,1650.8
7/12/2017,1700,1710,1635,1706
7/13/2017,1707.3,1721.4,1690,1703.6
7/14/2017,1701,1769.7,1698.8,1755.1
7/17/2017,1761,1776.9,1725.1,1747.4
7/18/2017,1800,1809,1747,1759.5
7/19/2017,1767.9,1775.3,1725.1,1734.6
7/20/2017,1743,1758.2,1705.2,1712
7/21/2017,1718,1725.1,1695.5,1708.6
7/24/2017,1715,1739,1708.1,1724.9
7/25/2017,1747.5,1747.5,1712.6,1726.1
7/26/2017,1725,1732.4,1698,1706.4
7/27/2017,1712,1744.4,1707.6,1732
7/28/2017,1738.8,1758,1726,1731.2
7/31/2017,1736,1759,1728.3,1733.2
8/1/2017,1743,1752,1731.6,1737.8
8/2/2017,1725,1775,1712.5,1772.1
8/3/2017,1778,1817.8,1758,1810.6
8/4/2017,1793.5,1837,1793.5,1813.4
8/7/2017,1818,1827,1795.1,1817.4
8/8/2017,1817.4,1837.6,1792.5,1812.2
8/9/2017,1810,1831,1793.4,1819.5
8/10/2017,1813.9,1813.9,1770,1776.7
8/11/2017,1764.9,1793.5,1748,1760.6
8/14/2017,1764.8,1793.5,1751,1784.8
8/16/2017,1785.6,1816.8,1772.4,1811.2
8/17/2017,1814,1824.9,1771.4,1780.1
8/18/2017,1773.6,1805,1764.1,1794.3
8/21/2017,1809,1813,1785.1,1792.6
8/22/2017,1798.9,1804.5,1772.1,1789.3
8/23/2017,1787,1806,1782.4,1801.9
8/24/2017,1794,1803.6,1775.1,1781.5
8/28/2017,1784.4,1831.9,1782,1815.7
8/29/2017,1800,1816.7,1786.1,1801.5
8/30/2017,1819,1830,1806.1,1811.2
8/31/2017,1814,1817.6,1793.5,1800.3
9/1/2017,1794,1826,1794,1818.1
9/4/2017,1823.7,1823.7,1765.4,1771.1
9/5/2017,1772.4,1810.6,1758.5,1805
9/6/2017,1799,1816,1792.6,1807.1
9/7/2017,1806.8,1813,1782.5,1786.8
9/8/2017,1793.4,1803.2,1781.3,1791.3
9/11/2017,1803.4,1810,1792.5,1797.6
9/12/2017,1797.6,1857.6,1797,1851.3
9/13/2017,1848,1870,1838.2,1843.8
9/14/2017,1841,1855,1827,1844.9
9/15/2017,1840,1840,1811.1,1820.7
9/18/2017,1827.2,1847.6,1822.1,1825.9
9/19/2017,1832.7,1833.8,1812,1817.2
9/20/2017,1823,1824.9,1778.1,1786.1
9/21/2017,1787,1789.3,1742.5,1749.8
9/22/2017,1745.3,1746,1680,1688.3
9/25/2017,1688,1692,1625.1,1632.7
9/26/2017,1628,1648.9,1617.4,1632.1
9/27/2017,1644,1663.7,1580,1589.8
9/28/2017,1596,1669.5,1590.1,1645.9
9/29/2017,1660,1679,1643.3,1656.9
10/3/2017,1670.1,1676,1642,1647.2
10/4/2017,1650,1662,1633.6,1651.1
10/5/2017,1653.8,1707.5,1652.1,1700.2
10/6/2017,1705,1748.2,1704.6,1739.6
10/9/2017,1740,1759.8,1721.7,1728.2
10/10/2017,1726,1750,1726,1734.1
10/11/2017,1745,1749,1707.3,1715.5
10/12/2017,1719.2,1747,1711.1,1741.1
10/13/2017,1745,1774,1735,1770.1
10/16/2017,1776,1796.9,1770.1,1789.7
10/17/2017,1790,1818,1767.1,1792.5
10/18/2017,1810,1810.1,1777.8,1783.8
10/19/2017,1785,1787,1752.8,1765.2
10/23/2017,1770.3,1790,1744.9,1781
10/24/2017,1792,1806.1,1773.7,1777.7
10/25/2017,1785.1,1814,1785,1801.2
10/26/2017,1803.7,1806.9,1776.6,1782.5
10/27/2017,1786,1802,1773,1783.2
10/30/2017,1795,1830,1789.2,1819.6
10/31/2017,1821,1837,1805,1809.5
11/1/2017,1815,1834.9,1815,1823.4
11/2/2017,1832.7,1835,1796.4,1799.4
11/3/2017,1805.1,1817.5,1795,1805.2
11/6/2017,1801,1814.4,1792,1803.7
11/7/2017,1809.9,1816.2,1776.4,1790
